Datetime,Close,High,Low,Open,Volume,Week,Day,Hour,ROC_Close,EMROC_Close,ROC_Volume,EMROC_Volume,ATR_10,MM_20,MM_60,EMM_20,EMM_60,RSI,DistanceToMM20,DistanceToMM60,DistanceToEMM20,DistanceToEMM60,Close_denoised
2023-04-17 00:00:00-05:00,4173.0,4173.25,4169.25,4170.5,0.0,16,0,0,,,,,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,0.06222233400118339,-0.03250219990176606,4172.375
2023-04-17 01:00:00-05:00,4171.75,4174.0,4168.25,4173.0,9495.0,16,0,1,,,,,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,0.032249226424499594,-0.062446933247110606,4172.375
2023-04-17 02:00:00-05:00,4171.5,4176.0,4170.25,4172.0,18031.0,16,0,2,-0.00035945363048162093,-0.00035945363048162093,inf,,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,0.02625460490916283,-0.06843587991617951,4169.875000000001
2023-04-17 03:00:00-05:00,4168.25,4172.75,4167.5,4171.75,12018.0,16,0,3,-0.0008389764487325424,-0.0003725912419405503,0.2657187993680885,0.2657187993680885,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,-0.05167547479021504,-0.14629218661407534,4169.875000000001
2023-04-17 04:00:00-05:00,4165.25,4170.0,4164.0,4168.25,12921.0,16,0,4,-0.0014982620160614024,-0.00040343153712194354,-0.2834008097165992,0.2506744265164533,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,-0.12361093297425615,-0.21815954664290224,4166.5
2023-04-17 05:00:00-05:00,4167.75,4168.5,4164.5,4165.5,9766.0,16,0,5,-0.00011995441732137735,-0.0003956650406890513,-0.18738558828424035,0.23867278227533836,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,-0.06366471782088855,-0.15827007995221315,4166.5
2023-04-17 06:00:00-05:00,4168.25,4169.75,4164.25,4167.75,15057.0,16,0,6,0.0007202448832603903,-0.00036509216606029954,0.16531228233108886,0.236662905564537,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,-0.05167547479021504,-0.14629218661407534,4165.875000000001
2023-04-17 07:00:00-05:00,4163.5,4170.25,4161.75,4168.25,29655.0,16,0,7,-0.0010197348689340302,-0.00038302758257738805,2.036555396272783,0.2859750285976396,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,-0.16557328358161347,-0.2600821733263846,4165.875000000001
2023-04-17 08:00:00-05:00,4164.25,4169.5,4159.25,4163.5,178137.0,16,0,8,-0.0009596353385713519,-0.00039882505534434597,10.830842797369995,0.5748755154133206,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,-0.1475894190356032,-0.2421153333191779,4162.750000000001
2023-04-17 09:00:00-05:00,4161.25,4169.25,4156.5,4164.25,174693.0,16,0,9,-0.0005404107121412816,-0.000402704114434673,4.890844714213455,0.6931212468872968,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,-0.2195248772196443,-0.3139826933480048,4162.750000000001
2023-04-17 10:00:00-05:00,4154.0,4164.5,4149.25,4161.75,168189.0,16,0,10,-0.0024614276280242597,-0.0004591074983686343,-0.05584465888613821,0.6726016330304904,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,-0.3933689011644103,-0.48766214675100317,4154.375
2023-04-17 11:00:00-05:00,4154.75,4157.25,4150.0,4154.0,91426.0,16,0,11,-0.0015620306398317352,-0.0004893245707374863,-0.4766476046550234,0.6411153525459558,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,-0.3753850366184,-0.46969530674379645,4154.375
2023-04-17 12:00:00-05:00,4150.5,4158.5,4149.5,4155.0,86803.0,16,0,12,-0.0008425613866153148,-0.0004990022917204406,-0.48389609308575476,0.6102931211587856,,,,4170.405076624021,4174.356757778026,25.33936651583649,,,-0.47729360237912494,-0.571507400117968,4154.595658858652
