Datetime,Close,High,Low,Open,Volume,Week,Day,Hour,ROC_Close,EMROC_Close,ROC_Volume,EMROC_Volume,Close_denoised,score,APE,SIGN,Result,TP,TN,FP,FN
2024-11-28 10:00:00-05:00,6026.35,6028.4,6026.1,6027.62,3526.08,48,3,10,0.0001161700397469,5.927067369841544e-05,0.0239754669640368,0.4882052698248796,6026.175,"[0.016628477234642208, 0.005748821977581372, 0.009517085517808074]","[0.016628477234642208, 0.005748821977581372, 0.009517085517808074]","[1, 1, 1]","[6027.702, 6027.3965, 6027.9736]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 11:00:00-05:00,6026.7,6028.8,6026.45,6028.04,3567.36,48,3,11,0.0001161632923996,6.082937558063986e-05,0.0236914600550963,0.4754788640777623,6026.875000000001,"[0.03311567744584528, 0.03002888372267253, 0.026991051802082038]","[0.03311567744584528, 0.03002888372267253, 0.026991051802082038]","[1, 1, 1]","[6029.046, 6029.21, 6029.377]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 12:00:00-05:00,6027.05,6029.2,6026.8,6028.46,3608.64,48,3,12,0.000116156545836,6.234518846435046e-05,0.02341410291315,0.4630935281554442,6026.875000000001,"[0.020194237979897865, 0.01193211863879557, 0.019247423006413897]","[0.020194237979897865, 0.01193211863879557, 0.019247423006413897]","[1, 1, 1]","[6028.617, 6028.469, 6029.2603]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 13:00:00-05:00,6027.4,6029.6,6027.15,6028.88,3649.92,48,3,13,0.0001161498000563,6.381928741207687e-05,0.0231431646932185,0.4510400935400408,6027.575000000002,"[0.005540780141843972, 0.011349839709023344, 0.006452153434959536]","[0.005540780141843972, 0.011349839709023344, 0.006452153434959536]","[1, 1, 1]","[6028.084, 6028.784, 6028.061]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 14:00:00-05:00,6027.75,6030.0,6027.5,6029.3,3691.2,48,3,14,0.00011614305506,6.525281529284256e-05,0.022878425113062,0.4393096368708085,6027.575000000002,"[0.004594368457716962, 0.003648066667222618, 0.0001344458059616856]","[0.004594368457716962, 0.003648066667222618, 0.0001344458059616856]","[1, 1, 1]","[6028.377, 6028.67, 6028.808]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 15:00:00-05:00,6028.1,6030.4,6027.85,6029.72,3732.48,48,3,15,0.0001161363108472,6.664688366419706e-05,0.0226196738558652,0.4278934735005361,6028.275000000001,"[0.0066935219666777014, 0.010104493224187534, 0.005853722125015364]","[0.0066935219666777014, 0.010104493224187534, 0.005853722125015364]","[1, 1, 1]","[6028.8535, 6029.409, 6029.503]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 16:00:00-05:00,6028.45,6030.8,6028.2,6030.14,3773.76,48,3,16,0.0001161295674172,6.800257363003398e-05,0.022366710013004,0.4167831512132064,6028.275000000001,"[0.0001004293972296626, 0.010526657468305878, 0.006964456007960859]","[0.0001004293972296626, 0.010526657468305878, 0.006964456007960859]","[1, 1, 1]","[6028.794, 6029.7847, 6029.08]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 17:00:00-05:00,6028.8,6031.2,6028.55,6030.56,3815.04,48,3,17,0.0001161228247705,6.932093667498049e-05,0.0221193415637859,0.4059704440995237,6028.975000000001,"[0.008493890100600646, 0.01391271560660088, 0.004317712090676156]","[0.008493890100600646, 0.01391271560660088, 0.004317712090676156]","[1, 1, 1]","[6029.662, 6030.339, 6030.1104]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 18:00:00-05:00,6029.15,6031.6,6028.9,6030.98,3856.32,48,3,18,0.0001161160829068,7.060299547585356e-05,0.0218773848893412,0.395447346586916,6028.975000000001,"[0.0037656651670951156, 7.935779912209752e-05, 0.007055956373755131]","[0.0037656651670951156, 7.935779912209752e-05, 0.007055956373755131]","[1, 1, 1]","[6029.727, 6029.845, 6030.6255]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 19:00:00-05:00,6029.5,6032.0,6029.25,6031.4,3897.6,48,3,19,0.0001161093418258,7.184974469092115e-05,0.0216406643180673,0.3852060676206462,6029.675000000001,"[0.008147940558216807, 0.018149208877818016, 0.0021667022493772224]","[0.008147940558216807, 0.018149208877818016, 0.0021667022493772224]","[1, 1, 1]","[6030.3413, 6031.2944, 6030.6807]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 20:00:00-05:00,6029.85,6032.4,6029.6,6031.82,3938.88,48,3,20,0.0001161026015277,7.306215172754586e-05,0.0214090117002738,0.3752390249926908,6029.675000000001,"[0.006035701033965406, 0.008255491829100466, 0.002532530385189007]","[0.006035701033965406, 0.008255491829100466, 0.002532530385189007]","[1, 1, 1]","[6030.564, 6031.048, 6031.0527]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 21:00:00-05:00,6030.2,6032.8,6029.95,6032.24,3980.16,48,3,21,0.0001160958620116,7.424115748875467e-05,0.0211822660098521,0.3655388398150788,6030.375,"[0.004288062448695693, 0.002605397308036343, 0.007942033678756477]","[0.004288062448695693, 0.002605397308036343, 0.007942033678756477]","[1, 1, 1]","[6030.8086, 6031.057, 6031.729]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 22:00:00-05:00,6030.55,6033.2,6030.3,6032.66,4021.44,48,3,22,0.0001160891232783,7.538767709942765e-05,0.0209602729709967,0.356098331134419,6030.375,"[-0.006081959160318298, 0.0007772020725388601, 0.0061695529163039425]","[0.006081959160318298, 0.0007772020725388601, 0.0061695529163039425]","[-1, 1, 1]","[6030.533, 6031.203, 6031.122]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1, 0, 0]"
2024-11-28 23:00:00-05:00,6030.9,6033.6,6030.65,6033.08,4062.72,48,3,23,0.0001160823853272,7.650260061251817e-05,0.0207428847081525,0.3469105106843843,6031.075000000001,"[0.006330958549222798, -0.029892374497367657, -0.08308619187855158]","[0.006330958549222798, 0.029892374497367657, 0.08308619187855158]","[1, -1, -1]","[6031.632, 6032.5527, 6032.258]","[1, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
2024-11-29 00:00:00-05:00,6031.25,6034.0,6031.0,6033.5,4104.0,48,4,0,0.0001160756481581,7.758679369596115e-05,0.0205299594175221,0.3379685777729634,6031.075000000001,"[-0.016792195207892883, -0.08063962109585632, 0.0261890051189588]","[0.016792195207892883, 0.08063962109585632, 0.0261890051189588]","[-1, -1, 1]","[6031.7627, 6032.1104, 6033.0796]","[0, 0, 1]","[0, 0, 0]","[1, 1, 0]","[0, 0, 0]"
2024-11-29 01:00:00-05:00,6030.75,6032.5,6028.5,6031.25,3718.0,48,4,1,-2.48719096651584e-05,7.477970593264281e-05,-0.0848495589161941,0.3263845192335345,6029.000000000001,"[0.04368182006719482, -0.017939670894470697, -0.042863210674622905]","[0.04368182006719482, 0.017939670894470697, 0.042863210674622905]","[1, -1, -1]","[6029.883, 6030.418, 6030.414]","[0, 0, 0]","[1, 0, 0]","[0, 0, 0]","[0, 1, 1]"
2024-11-29 02:00:00-05:00,6027.25,6031.0,6023.5,6031.0,6250.0,48,4,2,-0.0006632124352331,5.456074316097722e-05,0.5229044834307992,0.3317686278416787,6029.000000000001,"[0.02700665257398657, 0.04726607823636665, 0.04557021860754248]","[0.02700665257398657, 0.04726607823636665, 0.04557021860754248]","[1, 1, 1]","[6029.871, 6030.1484, 6029.751]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-29 03:00:00-05:00,6031.5,6033.25,6027.0,6027.25,8508.0,48,4,3,0.0001243626414624,5.647312393635943e-05,1.2883270575578267,0.3579757081078745,6032.250000000001,"[0.010003574092491297, 0.010603372358060506, 0.02090466114863465]","[0.010003574092491297, 0.010603372358060506, 0.02090466114863465]","[1, 1, 1]","[6032.3965, 6033.1396, 6031.989]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-29 04:00:00-05:00,6033.0,6034.5,6030.5,6031.25,7226.0,48,4,4,0.000954000580696,8.106291727224155e-05,0.15616,0.352446510625467,6032.250000000001,"[-0.010085345006216329, -0.008481643392864542, -0.07039251357963262]","[0.010085345006216329, 0.008481643392864542, 0.07039251357963262]","[-1, -1, -1]","[6033.1084, 6032.7383, 6033.494]","[0, 0, 0]","[0, 0, 0]","[1, 0, 1]","[0, 1, 0]"
