Datetime,Close,High,Low,Open,Volume,Week,Day,Hour,ROC_Close,EMROC_Close,ROC_Volume,EMROC_Volume,Close_denoised,score,APE,SIGN,Result,TP,TN,FP,FN
2024-11-28 10:00:00-05:00,6026.35,6028.4,6026.1,6027.62,3526.08,48,3,10,0.0001161700397469,5.927067369841544e-05,0.0239754669640368,0.4882052698248796,6026.175,"[-0.037095666471697916, -0.0705753773612328, -0.08903189756362008]","[0.037095666471697916, 0.0705753773612328, 0.08903189756362008]","[-1, -1, -1]","[6024.4644, 6022.7964, 6022.0337]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 11:00:00-05:00,6026.7,6028.8,6026.45,6028.04,3567.36,48,3,11,0.0001161632923996,6.082937558063986e-05,0.0236914600550963,0.4754788640777623,6026.875000000001,"[-0.013621856360079673, -0.026240843896201287, -0.036047473145037534]","[0.013621856360079673, 0.026240843896201287, 0.036047473145037534]","[-1, -1, -1]","[6026.229, 6025.8184, 6025.577]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 12:00:00-05:00,6027.05,6029.2,6026.8,6028.46,3608.64,48,3,12,0.000116156545836,6.234518846435046e-05,0.02341410291315,0.4630935281554442,6026.875000000001,"[-0.011043318843939946, -0.018744686035419518, -0.02845398010982505]","[0.011043318843939946, 0.018744686035419518, 0.02845398010982505]","[-1, -1, -1]","[6026.7344, 6026.62, 6026.385]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 13:00:00-05:00,6027.4,6029.6,6027.15,6028.88,3649.92,48,3,13,0.0001161498000563,6.381928741207687e-05,0.0231431646932185,0.4510400935400408,6027.575000000002,"[0.0036047473145037535, -0.018110171011601728, -0.04345929509243368]","[0.0036047473145037535, 0.018110171011601728, 0.04345929509243368]","[1, -1, -1]","[6027.5327, 6027.0083, 6025.83]","[1, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 1]"
2024-11-28 14:00:00-05:00,6027.75,6030.0,6027.5,6029.3,3691.2,48,3,14,0.00011614305506,6.525281529284256e-05,0.022878425113062,0.4393096368708085,6027.575000000002,"[-0.015315641537140455, -0.03756277525731852, -0.058187496889931356]","[0.015315641537140455, 0.03756277525731852, 0.058187496889931356]","[-1, -1, -1]","[6027.177, 6026.1855, 6025.292]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 15:00:00-05:00,6028.1,6030.4,6027.85,6029.72,3732.48,48,3,15,0.0001161363108472,6.664688366419706e-05,0.0226196738558652,0.4278934735005361,6028.275000000001,"[-0.018795966935942376, -0.04334986336418826, -0.06384347296052738]","[0.018795966935942376, 0.04334986336418826, 0.06384347296052738]","[-1, -1, -1]","[6027.317, 6026.1865, 6025.301]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 16:00:00-05:00,6028.45,6030.8,6028.2,6030.14,3773.76,48,3,16,0.0001161295674172,6.800257363003398e-05,0.022366710013004,0.4167831512132064,6028.275000000001,"[-0.021733245525646594, -0.04132105842033514, -0.056428290073803795]","[0.021733245525646594, 0.04132105842033514, 0.056428290073803795]","[-1, -1, -1]","[6027.4897, 6026.6587, 6026.0977]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 17:00:00-05:00,6028.8,6031.2,6028.55,6030.56,3815.04,48,3,17,0.0001161228247705,6.932093667498049e-05,0.0221193415637859,0.4059704440995237,6028.975000000001,"[-0.012133434543005833, -0.029558447010531553, -0.048301367364036646]","[0.012133434543005833, 0.029558447010531553, 0.048301367364036646]","[-1, -1, -1]","[6028.4185, 6027.718, 6026.9375]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 18:00:00-05:00,6029.15,6031.6,6028.9,6030.98,3856.32,48,3,18,0.0001161160829068,7.060299547585356e-05,0.0218773848893412,0.395447346586916,6028.975000000001,"[-0.016487944688614312, -0.034737661902872606, -0.05018360709428905]","[0.016487944688614312, 0.034737661902872606, 0.05018360709428905]","[-1, -1, -1]","[6028.506, 6027.7554, 6027.174]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 19:00:00-05:00,6029.5,6032.0,6029.25,6031.4,3897.6,48,3,19,0.0001161093418258,7.184974469092115e-05,0.0216406643180673,0.3852060676206462,6029.675000000001,"[-0.014938700796874944, -0.032256263266555306, -0.052931985370325785]","[0.014938700796874944, 0.032256263266555306, 0.052931985370325785]","[-1, -1, -1]","[6028.949, 6028.255, 6027.358]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
