Datetime,Close,High,Low,Open,Volume,Week,Day,Hour,ROC_Close,EMROC_Close,ROC_Volume,EMROC_Volume,Close_denoised,score,APE,SIGN,Result,TP,TN,FP,FN
2024-11-28 00:00:00-05:00,6022.85,6024.4,6022.6,6023.42,3113.28,48,3,0,-2.49045326248254e-05,4.1041333075945055e-05,0.4782905982905983,0.6364342751525017,6022.675000000001,"[0.01280368253171374, 0.000847908936587529, 0.011106475352340448]","[0.01280368253171374, 0.000847908936587529, 0.011106475352340448]","[1, 1, 1]","[6023.971, 6023.601, 6023.231]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 01:00:00-05:00,6023.2,6024.8,6022.95,6023.84,3154.56,48,3,1,0.0001162308011621,4.310131850296538e-05,0.0268749999999999,0.6197340210387345,6023.375,"[0.019070655489699894, 0.013259358036328025, 0.007448735838486119]","[0.019070655489699894, 0.013259358036328025, 0.007448735838486119]","[1, 1, 1]","[6024.6987, 6024.6987, 6024.6987]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 02:00:00-05:00,6023.55,6025.2,6023.3,6024.26,3195.84,48,3,2,0.0001162240467551,4.510468092083355e-05,0.0265186555658341,0.6034815452723538,6023.375,"[0.006912569099758691, 0.0011023156409511558, 0.001436168998765664]","[0.006912569099758691, 0.0011023156409511558, 0.001436168998765664]","[1, 1, 1]","[6024.3164, 6024.3164, 6024.6865]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 03:00:00-05:00,6023.9,6025.6,6023.65,6024.68,3237.12,48,3,3,0.0001162172931332,4.705297166637975e-05,0.0261716372489348,0.587664835463493,6024.075000000001,"[0.007108314831721791, 0.007433714478963519, 0.001624105801710917]","[0.007108314831721791, 0.007433714478963519, 0.001624105801710917]","[1, 1, 1]","[6024.678, 6025.048, 6025.048]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 04:00:00-05:00,6024.25,6026.0,6024.0,6025.1,3278.4,48,3,4,0.0001162105402958,4.894769957403699e-05,0.0258335836587564,0.5722721984277468,6024.075000000001,"[0.013520412662245396, 0.007710450397931633, 0.008035777264199594]","[0.013520412662245396, 0.007710450397931633, 0.008035777264199594]","[1, 1, 1]","[6025.4146, 6025.4146, 6025.784]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 05:00:00-05:00,6024.6,6026.4,6024.35,6025.52,3319.68,48,3,5,0.0001162037882436,5.079033214032689e-05,0.0255041518386713,0.5572922519458543,6024.7750000000015,"[0.02661782981601809, 0.0208074442351388, 0.008863475828339911]","[0.02661782981601809, 0.0208074442351388, 0.008863475828339911]","[1, 1, 1]","[6026.5537, 6026.5537, 6026.184]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 06:00:00-05:00,6024.95,6026.8,6024.7,6025.94,3360.96,48,3,6,0.0001161970369756,5.2582296656362574e-05,0.0251830161054171,0.5427139167173491,6024.7750000000015,"[0.021309882910391483, 0.009357781940543573, 0.0025929306339196813]","[0.021309882910391483, 0.009357781940543573, 0.0025929306339196813]","[1, 1, 1]","[6026.584, 6026.214, 6025.8438]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 07:00:00-05:00,6025.3,6027.2,6025.05,6026.36,3402.24,48,3,7,0.0001161902864921,5.432498130939713e-05,0.0248698669751301,0.5285264085052335,6025.475,"[0.0030128362707818046, 0.008929404870560903, -0.02087836128005117]","[0.0030128362707818046, 0.008929404870560903, 0.02087836128005117]","[1, 1, -1]","[6025.8315, 6025.462, 6025.092]","[1, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]"
2024-11-28 08:00:00-05:00,6025.65,6027.6,6025.4,6026.78,3443.52,48,3,8,0.0001161835367928,5.601973625415008e-05,0.0245644101685231,0.5147192304686112,6025.475,"[0.003143928393627614, -0.021072819783125172, -0.03302037703054438]","[0.003143928393627614, 0.021072819783125172, 0.03302037703054438]","[1, -1, -1]","[6026.1895, 6025.08, 6024.71]","[1, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 1]"
2024-11-28 09:00:00-05:00,6026.0,6028.0,6025.75,6027.2,3484.8,48,3,9,0.0001161767878776,5.766787465479461e-05,0.0242663656884876,0.5012821656801146,6026.175,"[0.015485378794786831, 0.0035438004007198286, 0.0022635581461939403]","[0.015485378794786831, 0.0035438004007198286, 0.0022635581461939403]","[1, 1, 1]","[6027.283, 6026.9136, 6026.9136]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
