Datetime,Close,High,Low,Open,Volume,Week,Day,Hour,ROC_Close,EMROC_Close,ROC_Volume,EMROC_Volume,Close_denoised,std,diff_q0_q8,diff_q6_q2,diff_q5_q3,score,APE,SIGN,Result,TP,TN,FP,FN
2023-03-12 23:00:00-05:00,3928.0,3932.5,3925.5,3929.25,0.0,10,6,23,,,,,3930.125000000001,,,,,,,,,0,0,0,0
2023-03-13 00:00:00-05:00,3932.25,3934.25,3925.0,3927.75,8305.0,11,0,0,,,,,3930.125000000001,,,,,,,,,0,0,0,0
2023-03-13 01:00:00-05:00,3934.25,3938.75,3930.0,3932.5,10822.0,11,0,1,0.0015911405295314,0.0015911405295314,inf,,3930.154053383217,,,,,,,,,0,0,0,0
2023-03-13 02:00:00-05:00,3920.5,3935.5,3917.75,3934.5,18843.0,11,0,2,-0.0029881111323033,0.0014656815798921,1.2688741721854306,1.2688741721854306,3924.5959466167847,,,,,,,,,0,0,0,0
2023-03-13 03:00:00-05:00,3884.0,3921.5,3883.0,3920.5,53888.0,11,0,3,-0.012772447099193,0.0010755958626569,3.9794862317501383,1.343137516283094,3879.904053383217,,,,,,,,,0,0,0,0
2023-03-13 04:00:00-05:00,3862.75,3886.25,3860.5,3884.25,86947.0,11,0,4,-0.0147302639969392,0.0006425586062296,3.61428647243008,1.405360775355614,3866.845946616784,,,,,,,,,0,0,0,0
2023-03-13 05:00:00-05:00,3879.75,3885.5,3856.5,3862.75,62661.0,11,0,5,-0.0010942327497425,0.0005949752814084,0.1628006235154393,1.371318031469582,3875.6540533832167,,,,,,,,,0,0,0,0
2023-03-13 06:00:00-05:00,3866.25,3896.5,3862.0,3879.75,72311.0,11,0,6,0.0009060902206976,0.0006034989783753,-0.168332432401348,1.3291358269799676,3870.3459466167833,,,,,,,,,0,0,0,0
2023-03-13 07:00:00-05:00,3834.75,3872.75,3808.75,3866.25,169905.0,11,0,7,-0.011598685482312,0.0002691925547948,1.7114951883946952,1.3396114259228369,3838.845946616784,,,,,,,,,0,0,0,0
2023-03-13 08:00:00-05:00,3858.75,3865.75,3810.0,3834.75,325542.0,11,0,8,-0.0019398642095053,0.0002086704516633,3.5019706545338884,1.3988541445149203,3854.6540533832167,,,,,,,,,0,0,0,0
2023-03-13 09:00:00-05:00,3881.0,3882.5,3839.75,3858.5,367837.0,11,0,9,0.0120607601538562,0.0005333852380247,1.1649568876725227,1.3924460004918413,3885.095946616784,,,,,,,,,0,0,0,0
2023-03-13 10:00:00-05:00,3891.75,3902.25,3874.0,3881.25,319225.0,11,0,10,0.0085519922254615,0.0007530731006942,-0.019404562237745,1.3537651631567842,3887.6540533832176,,,,,,,,,0,0,0,0
2023-03-13 11:00:00-05:00,3869.75,3908.0,3864.5,3892.0,272359.0,11,0,11,-0.0028987374388044,0.0006530234968724,-0.2595660577919023,1.309564307788327,3873.8459466167847,,,,,,,,,0,0,0,0
2023-03-13 12:00:00-05:00,3882.25,3885.0,3857.25,3869.75,193556.0,11,0,12,-0.0024410612192458,0.0005682540525951,-0.3936690422116062,1.2629003803910686,3878.154053383217,,,,,,,,,0,0,0,0
2023-03-13 13:00:00-05:00,3888.75,3899.5,3880.75,3882.5,159810.0,11,0,13,0.004909877899089,0.0006872026511292,-0.4132376752741785,1.2169787898248974,3884.6540533832167,,,,,,,,,0,0,0,0
